domain,title,business_name,country,seo_score,tech_spend,crawled_at,technologies
mortgagequotesystems.com,MQCC®: METAVERSEPEDIA® (.info),,USA,70,115488,2026-09-13T15:38:17.124181341Z,"['AWS WAF Challenge', 'Amazon Widgets', 'Apache', 'Apture Linking Platform', 'Blockchain', 'ClickOn', 'Corporate Governance and Regulatory Compliance', 'DAV', 'Express', 'Financial Services Guide', 'Fireblade', 'Flourish', 'GZIP Module', 'GetResponse', 'GitHub Hosting', 'Google', 'Google Cloud CDN', 'Google Cloud DNS', 'Google Font API', 'Google Forms', 'Google My Business', 'Google Play', 'Google Recommendations AI', 'Google Related Website Sites', 'InitiativeS', 'Investing', 'Microdata for Google Shopping', 'NFOrce Internet', 'Ntent', 'Oracle Cloud', 'Perl', 'Plausible Analytics', 'SMC', 'Sapper', 'Schema Plugin', 'Subversion', 'UTF-8', 'University or College', 'Vector Internet Services', 'eLand']"
tada2023.org,TADA 2023: New Directions in Analyzing Text as Data | TADA 2023 at UMass Amherst,,USA,85,4940,2026-09-13T15:17:17.916280096Z,"['Content Delivery Network', 'DAV', 'Fastly', 'GZIP Module', 'GitHub Hosting', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Forms', 'Google My Business', 'Greyhound', 'Jekyll', 'Microdata for Google Shopping', 'OSS CDN', 'UTF-8', 'University or College']"
balaratcouncil.org,Balarat Council/Home,,USA,67,75973,2026-09-13T15:07:00.919323494Z,"['Aruba', 'Express', 'GZIP Module', 'Google Forms', 'Google My Business', 'Instagram Follow Button', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
braxtontransportationgroup.com,Same Day Delivery & Expedited Freight | Braxton Transportation Group,,,62,2554,2026-09-13T14:58:41.332314551Z,"['Alternate Protocol', 'Content Delivery Network', 'Google', 'Google Cloud DNS', 'Google Customer Reviews', 'Google Font API', 'Google Forms', 'Google My Business', 'Microdata for Google Shopping', 'Perl', 'Pexels', 'Unsplash', 'Zyro']"
ethoslab.ca,Innovation Hub - Ethọ́s Lab,,CAN,82,7421,2026-09-13T14:58:41.266583355Z,"['Alternate Protocol', 'BunnyCDN', 'BunnyCDN General', 'Contact Form Plugin', 'Content Delivery Network', 'Custom Facebook Feed', 'Custom Twitter Feeds', 'DAV', 'ElementUI', 'EmbedPress', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'Font Awesome', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Forms', 'Google My Business', 'Google Tag Manager', 'Gravity Forms', 'Instagram Feed for WordPress', 'Instagram Follow Button', 'Line2', 'LiteSpeed', 'LottieFiles', 'MailChimp', 'MailChimp for WordPress', 'Microdata for Google Shopping', 'Nectar Slide Plugin', 'PHP', 'QUIC', 'Salient', 'Shifter', 'Sitelinks Search Box', 'Stripe', 'Theme In WP', 'UTF-8', 'University or College', 'WPBakery', 'WPForms', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'jQuery', 'reCAPTCHA']"
crossskills.in,Cross Skills,Cross Skills,,55,402,2026-09-13T14:36:10.595659539Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Automattic', 'Cloudflare', 'Cloudflare CDN', 'Contact Form Plugin', 'Content Delivery Network', 'EmbedPress', 'Event Tickets for Wordpress', 'Express', 'Facebook Conversion Tracking', 'Facebook Login', 'Facebook Messenger Platform', 'Facebook Pixel', 'Facebook Reseller', 'Facebook Tag API', 'FreeCSSTemplates', 'Getwid Gutenberg Blocks', 'Google', 'Google Analytics', 'Google Cloud DNS', 'Google Font API', 'Google Forms', 'Google My Business', 'Google Related Website Sites', 'Google Tag Manager', 'HubSpot WordPress Plugin', 'Instagram Follow Button', 'Jetpack', 'LiteSpeed', 'Microdata for Google Shopping', 'PHP', 'Popup Maker for Wordpress', 'TablePress', 'Theme In WP', 'Twitter Ads', 'UTF-8', 'University or College', 'WPForms', 'Woo Themes', 'WordPress', 'WordPress Multisite', 'WordPress Stats', 'YouTube', 'jQuery']"
endocarditissolutions.com,Home - Endocarditis Solutions,Endocarditis Solutions,,82,1039,2026-09-13T14:36:10.574108353Z,"['Alternate Protocol', 'Cloudflare', 'Content Delivery Network', 'EmbedPress', 'GoDaddy', 'Google Forms', 'Google My Business', 'IcoMoon', 'Microdata for Google Shopping', 'PHP', 'ThemeFusion', 'UTF-8', 'WordPress', 'WordPress Multisite', 'jQuery']"
davbathinda.edu.in,DAV College,DAV College,IND,60,875,2026-09-13T14:36:10.561663855Z,"['Alternate Protocol', 'Apache', 'Contact Form Plugin', 'Corporate Governance and Regulatory Compliance', 'DAV', 'Ditty News Ticker', 'Easy Social Icons for WordPress', 'EmbedPress', 'Facebook Login', 'Facebook Reseller', 'Font Awesome', 'Google', 'Google Cloud DNS', 'Google Font API', 'Google Forms', 'Google My Business', 'Max Mega Menu', 'Max Mega Menu Pro', 'Microdata for Google Shopping', 'NFOrce Internet', 'PHP', 'Pleroma', 'Slider Revolution', 'Theme In WP', 'Twenty Seventeen', 'Twitter Ads', 'UTF-8', 'University or College', 'WP Fastest Cache', 'WPBakery', 'WoWonder', 'WordPress', 'WordPress Download Manager', 'WordPress Multisite', 'YouTube', 'jQuery', 'reCAPTCHA']"
georgewileycenter.org,The George Wiley Center,,,60,39216,2026-09-13T14:25:46.201785579Z,"['AWS WAF Challenge', 'Alternate Protocol', 'Amazon WAF Blocked', 'Apture Linking Platform', 'Constant Contact', 'Content Delivery Network', 'Express', 'Fastly', 'Fireblade', 'GZIP Module', 'Google Forms', 'Google My Business', 'Instagram Follow Button', 'K2F', 'Microdata for Google Shopping', 'Microsoft Azure Blob Storage', 'NFOrce Internet', 'PWA', 'Perl', 'QUIC', 'SMC', 'Seflow Italy', 'Sentry', 'SiteW', 'Tailwind CSS', 'Twitter Ads', 'UTF-8', 'University or College', 'Vector Internet Services', 'Wix', 'Wix Media', 'YouTube', 'eLand', 'mlcom']"
mackenzieosbornlpc.com,"Mackenzie Osborn, LPC",,USA,70,95973,2026-09-13T14:04:43.861717603Z,"['AWS WAF Challenge', 'Aruba', 'Express', 'GZIP Module', 'Google Forms', 'Google My Business', 'Line2', 'Magento Enterprise', 'Microdata for Google Shopping', 'QUIC', 'SiteW', 'Squarespace', 'UTF-8', 'Vector Internet Services', 'WordPress SEO Structured Data Schema Plugin', 'eLand']"
